label,active,error_count,url,selector,type,hash
"SP Bezirk Horgen",yes,0,https://bezirk-horgen.spkantonzh.ch/aktuell/medienmitteilungen/,#main,static,e8299286ace12b5b846215126809f329fa007271f299b5e5b8d6c02a9762dfb1
"SP Kanton Zürich",yes,0,https://www.spkantonzh.ch/aktuell/artikel/,.article-box,static,9f8476b137920154d69da7ff5c7e9dc4abc595a511a4b8b02f0fb5e5a77f90d9
"FDP Bezirk Horgen",yes,0,https://www.fdp-bezirkhorgen.ch/aktuell/medienmitteilungen,#main-content,static,d2fc0178d81048442ac7318342eb86594321ea2c8d8198a33d4533dc5bbe5015
"EVP Bezirk Horgen",yes,0,https://evpzh.ch/sektionen/bezirke/bezirk-horgen,#main,static,8478bd6da9196f4596fe3041742031c873b7257f6c522779e1f0790d7ded68c6
"SVP Bezirk Horgen",yes,0,https://svp-bezirk-horgen.ch/wahlen2023/,#main,static,c7878436132f4e3e9fd5f7b58cf8320bd80ee1706f808c2a5dfb0c59b84f2d84
"Mitte Bezirk Horgen",yes,0,https://zh.die-mitte.ch/bezirk-horgen/,main,static,58591261a8cff167629eb2c752fadcda6332851c615aeac009a8b62eeb74933a
"Grüne Bezirk Horgen",yes,0,https://gruene-zh.ch/gr%C3%BCne-bezirk-horgen,#content,static,9cb2fccfb3ad762465ac0a591bb8be068ede0bde167b2e1c56deeb4dffe75fd4
"Grüne Kanton Zürich",yes,0,https://gruene-zh.ch/aktuell,.views-row,static,3ab9a477eb34cc536bca17975d4d6d2a59db60a6cb75002894a09dc39588e945
"GLP Bezirk Horgen",yes,0,https://bezirkhorgen.grunliberale.ch/aktuell.html,#contentPage,static,571fcbc137813e9ceb451ed0763f24ba025401c33eab3ffb58a6f1ed289d74ef
"ZPZ News",yes,0,https://www.zpz.ch/news-index,.news-container,static,8426c658de9a7eaf15bac2dbb6f04a655718cb149e40887260d4d5a23490c406
"ZPZ Agenda",yes,0,https://www.zpz.ch/aktuell/agenda,"main section p",static,e43bafc78fd2c7c6b1843e54f43701e6b4fee322fca8ee37008b1bac7c951f98
"Unternehmer-Vereinigung Bezirk Horgen",yes,0,https://www.uvh.ch/index.php,div.bd-container-inner,static,d87906fdf5ef3c18a7ddd0562a2fd1b7c0596130b1150014eed710410d1f77e5
"HEV Kanton Zürich",yes,0,https://www.hev-zh.ch/,.article-listing,static,36fd38cfee08696c1677bb3662e4dd7721608ae6ff6d479f00382fe6f2f0aa06
"AL Zürich",yes,0,https://al-zh.ch/aktuell/,article,static,ce161907209baa77928957553b8e2a281b0fc5112942f4a4b1a64655dc29e78d
